时延档(s),五档,判定数
14.75,FULLY_SUPPORTED,1
14.75,PARTIALLY_SUPPORTED,3
15.25,PARTIALLY_SUPPORTED,2
15.5,PARTIALLY_SUPPORTED,1
16.25,PARTIALLY_SUPPORTED,1
17.0,UNSUPPORTED,1
17.5,PARTIALLY_SUPPORTED,1
17.75,PARTIALLY_SUPPORTED,1
18.75,UNSUPPORTED,1
19.0,UNSUPPORTED,1
19.25,UNSUPPORTED,1
19.5,UNSUPPORTED,1
19.75,FULLY_SUPPORTED,1
21.5,FULLY_SUPPORTED,1
21.5,UNSUPPORTED,3
22.25,PARTIALLY_SUPPORTED,1
22.75,PARTIALLY_SUPPORTED,1
23.0,PARTIALLY_SUPPORTED,1
23.0,UNSUPPORTED,1
23.5,UNSUPPORTED,1
24.0,UNSUPPORTED,1
25.0,PARTIALLY_SUPPORTED,1
26.5,PARTIALLY_SUPPORTED,1
26.75,PARTIALLY_SUPPORTED,1
27.0,UNSUPPORTED,1
28.75,PARTIALLY_SUPPORTED,1
29.0,FULLY_SUPPORTED,1
29.25,UNSUPPORTED,1
29.5,PARTIALLY_SUPPORTED,1
30.75,PARTIALLY_SUPPORTED,1
33.0,PARTIALLY_SUPPORTED,1
35.25,UNSUPPORTED,1
35.5,UNSUPPORTED,1
36.25,UNSUPPORTED,1
38.25,FULLY_SUPPORTED,1
39.25,UNSUPPORTED,1
39.5,PARTIALLY_SUPPORTED,1
41.25,INSUFFICIENT,1
42.0,INSUFFICIENT,1
42.0,UNSUPPORTED,1
42.25,FULLY_SUPPORTED,1
42.25,PARTIALLY_SUPPORTED,1
43.5,INSUFFICIENT,1
46.0,UNSUPPORTED,5
48.0,FULLY_SUPPORTED,1
48.25,PARTIALLY_SUPPORTED,1
51.5,PARTIALLY_SUPPORTED,1
52.0,UNSUPPORTED,1
53.0,UNSUPPORTED,2
53.75,PARTIALLY_SUPPORTED,1
54.0,INSUFFICIENT,2
54.0,UNSUPPORTED,1
54.25,UNSUPPORTED,1
54.5,UNSUPPORTED,1
55.0,FULLY_SUPPORTED,1
55.75,PARTIALLY_SUPPORTED,1
56.5,FULLY_SUPPORTED,1
56.5,PARTIALLY_SUPPORTED,1
58.75,UNSUPPORTED,1
59.0,UNSUPPORTED,1
