谓词,断言数,是否原始形式(raw:)
raw:改为,3,1
raw:改变,3,1
raw:改名,3,1
raw:改编来源,3,1
raw:攻克地点,3,1
raw:攻入,3,1
raw:政权-事件,3,1
raw:政权依托地,3,1
raw:政权关联,3,1
raw:政权建立,3,1
raw:政治关系,3,1
raw:政治委员,3,1
raw:政治宣传,3,1
raw:政治活动,3,1
raw:政治领导,3,1
raw:政策制定,3,1
raw:政策制定者,3,1
raw:政策实施区域,3,1
raw:政策实践,3,1
raw:政策感召,3,1
raw:政策调整,3,1
raw:政策贯彻,3,1
raw:救助掩护,3,1
raw:救护/保护,3,1
raw:教学内容,3,1
raw:教学地点,3,1
raw:教学活动,3,1
raw:教育关联,3,1
raw:教育引导,3,1
raw:教育改造,3,1
raw:教育者与学生,3,1
raw:教育背景,3,1
raw:教训,3,1
raw:整理者,3,1
raw:整编地点,3,1
raw:整编对象,3,1
raw:斗争手段,3,1
raw:施压对象,3,1
raw:时代传承,3,1
raw:时代背景,3,1
raw:时间-地点关联,3,1
raw:明确,3,1
raw:是,3,1
raw:智斗,3,1
raw:暗算,3,1
raw:暴行,3,1
raw:暴露,3,1
raw:服从,3,1
raw:服务关系,3,1
raw:杀害关系,3,1
raw:权力斗争,3,1
raw:来源关联,3,1
raw:来源地,3,1
raw:构筑封锁线,3,1
raw:枪杀,3,1
raw:核实,3,1
raw:核心精神,3,1
raw:根据地建设,3,1
raw:横渡,3,1
raw:歌颂,3,1
raw:武器支援,3,1
raw:武器来源,3,1
raw:武装叛乱,3,1
raw:武装来源,3,1
raw:歼敌,3,1
raw:水系关联,3,1
raw:汇报于,3,1
raw:沟通,3,1
raw:沿岸关系,3,1
raw:活动/牺牲,3,1
raw:活动区域-地点,3,1
raw:活动地区,3,1
raw:活动组织,3,1
raw:活动路径,3,1
raw:活动载体,3,1
raw:派任,3,1
raw:派入,3,1
raw:派遣人员,3,1
raw:派遣单位,3,1
raw:流传,3,1
raw:流窜于,3,1
raw:深入发动,3,1
raw:清乡,3,1
raw:清剿对象,3,1
raw:清理,3,1
raw:渡河地,3,1
raw:渡河通道,3,1
raw:溃窜,3,1
raw:溃逃,3,1
raw:演出内容,3,1
raw:演出场所,3,1
raw:演化,3,1
raw:演唱,3,1
raw:火攻,3,1
raw:父女,3,1
raw:物-事,3,1
raw:物品-魂,3,1
raw:物品归属,3,1
raw:物资与成果,3,1
raw:物资交换,3,1
raw:物资交接,3,1
raw:物资转移,3,1
raw:牵头人,3,1
raw:牺牲与负伤,3,1
raw:牺牲于战斗,3,1
raw:牺牲保护,3,1
raw:牺牲关系,3,1
raw:献出,3,1
raw:献身,3,1
raw:率部游击,3,1
raw:率队,3,1
raw:率领北上,3,1
raw:理论来源,3,1
raw:生产关系,3,1
raw:生活管理服务人员,3,1
raw:电告,3,1
raw:留守,3,1
raw:疏通关系,3,1
raw:目标关联,3,1
raw:目标对象,3,1
raw:目的关系,3,1
raw:直接掌握,3,1
raw:相关地,3,1
raw:相关文献,3,1
raw:看守,3,1
raw:督促,3,1
raw:瞻仰,3,1
raw:矛盾关系,3,1
raw:研判,3,1
raw:破坏于,3,1
raw:破坏活动,3,1
raw:秉持,3,1
raw:秘密机关,3,1
raw:称号,3,1
raw:穿插,3,1
raw:穿越,3,1
raw:突围于,3,1
raw:窜犯/转移,3,1
raw:窜至,3,1
raw:答复,3,1
raw:策划杀害,3,1
raw:策动叛变,3,1
raw:策反地点,3,1
raw:策反执行者,3,1
raw:策反联络,3,1
raw:策源地,3,1
raw:策略关联,3,1
raw:筹办,3,1
raw:筹措,3,1
raw:签署方,3,1
raw:精神引领,3,1
raw:纠集,3,1
raw:纪律,3,1
raw:纪律处分,3,1
raw:纪念场所关联,3,1
raw:纪念活动关联,3,1
raw:纪念物关联,3,1
raw:纪念者,3,1
raw:组成单位,3,1
raw:组成成员,3,1
raw:组织-任务,3,1
raw:组织-参与,3,1
raw:组织-参与者,3,1
raw:组织-地域,3,1
raw:组织-实体,3,1
raw:组织-对象,3,1
raw:组织-建立,3,1
raw:组织-成立地点,3,1
raw:组织-目标,3,1
raw:组织-组建,3,1
raw:组织-隶属,3,1
raw:组织/宣传,3,1
raw:组织与地点关系,3,1
raw:组织与宣传,3,1
raw:组织与活动区域,3,1
raw:组织于,3,1
raw:组织关系交由,3,1
raw:组织关系转移,3,1
raw:组织决策,3,1
raw:组织创建者,3,1
raw:组织发起方,3,1
raw:组织实施,3,1
raw:组织成员关系,3,1
raw:组织支持,3,1
raw:组织编纂,3,1
raw:组织群众行动,3,1
raw:组织者与参与者,3,1
raw:组织者与组织,3,1
raw:组织覆盖,3,1
raw:组织覆盖范围,3,1
raw:组织负责人,3,1
raw:组织驻地,3,1
raw:经济封锁,3,1
raw:经营主体,3,1
raw:经验交流,3,1
raw:经验总结,3,1
raw:结拜,3,1
raw:结论,3,1
raw:给,3,1
raw:统战合作,3,1
raw:统战工作对象,3,1
raw:统筹,3,1
raw:统领,3,1
raw:编写者,3,1
raw:编印者,3,1
raw:编纂地,3,1
raw:编者,3,1
raw:编辑/倡导,3,1
raw:编辑设计,3,1
raw:缴枪,3,1
raw:缴械行动,3,1
raw:缴获对象,3,1
raw:缺乏,3,1
raw:群众动员,3,1
raw:考察地点,3,1
raw:考验,3,1
raw:职务交接,3,1
raw:职务调整,3,1
raw:职务配合,3,1
raw:联合进攻,3,1
raw:联系人物,3,1
raw:联系单位,3,1
raw:联系机构,3,1
raw:联络人员,3,1
raw:联络指挥中心,3,1
raw:联络据点,3,1
raw:联络支持,3,1
raw:联络机构,3,1
raw:联络渠道,3,1
raw:联络负责人,3,1
raw:联络配合,3,1
raw:联防防堵,3,1
raw:聘请,3,1
raw:聘请关系,3,1
raw:聚集地,3,1
raw:致开幕词,3,1
raw:英雄事迹,3,1
raw:荣誉表彰,3,1
raw:获取于,3,1
raw:获取情报,3,1
raw:获悉,3,1
raw:获评,3,1
raw:行军路径,3,1
raw:行动-目标,3,1
raw:行动内容,3,1
raw:行动者,3,1
raw:行政区域,3,1
raw:行政接管,3,1
raw:行政隶属关系,3,1
raw:行经,3,1
raw:表现形式,3,1
raw:被争取,3,1
raw:被俘于,3,1
raw:被出卖者,3,1
raw:被击溃,3,1
raw:被围剿,3,1
raw:被威胁,3,1
raw:被害关系,3,1
raw:被扣押,3,1
raw:被捕事件,3,1
raw:被捕就义,3,1
raw:被控制,3,1
raw:被擒获,3,1
raw:被攻击,3,1
raw:被歼灭于,3,1
raw:被追捕,3,1
raw:被通缉,3,1
raw:被逮捕,3,1
raw:袭击对象,3,1
raw:袭扰,3,1
raw:西征,3,1
raw:要求承认,3,1
raw:见证者-地点,3,1
raw:规划于,3,1
raw:解放于,3,1
raw:解放行动,3,1
raw:解散,3,1
raw:解除武装,3,1
raw:誓师,3,1
raw:计划前往,3,1
raw:计划建立,3,1
raw:训练地点,3,1
raw:记载内容,3,1
raw:讲演,3,1
raw:讲话于,3,1
raw:讲述者-事件,3,1
raw:设立关系,3,1
raw:访问请教,3,1
raw:评价对象,3,1
raw:调兵,3,1
raw:调查了解,3,1
raw:调解者,3,1
raw:谈判地点,3,1
raw:负责地区,3,1
raw:负责对象,3,1
raw:负责清剿,3,1
raw:购书,3,1
raw:购置,3,1
raw:资金流向,3,1
raw:赞誉,3,1
raw:赠物,3,1
raw:起义谈判,3,1
raw:起源地,3,1
raw:跟踪,3,1
raw:跟踪追捕,3,1
raw:路径经过,3,1
raw:身份关联,3,1
raw:身份转变,3,1
raw:转交,3,1
raw:转交经费,3,1
raw:转变,3,1
raw:转向,3,1
raw:转折,3,1
raw:转移保护,3,1
raw:转移关押,3,1
raw:载体关联,3,1
raw:辐射,3,1
raw:输送方向,3,1
raw:输送路线,3,1
raw:辖,3,1
raw:辖区范围,3,1
raw:迁往,3,1
raw:迁至,3,1
raw:过境/作战,3,1
raw:过渡,3,1
raw:运输目的地,3,1
raw:进发,3,1
raw:进驻地点,3,1
raw:迫使,3,1
raw:迫害关系,3,1
raw:迫害者-受害者,3,1
raw:追击/阻击,3,1
raw:追击行动,3,1
raw:追忆,3,1
raw:送,3,1
raw:送子,3,1
raw:送情报,3,1
raw:送达,3,1
raw:逃亡,3,1
raw:逃亡路径,3,1
raw:选址,3,1
raw:选定为,3,1
raw:选拔,3,1
raw:选派,3,1
raw:递交,3,1
raw:递进,3,1
raw:途经/会师,3,1
raw:通令,3,1
raw:逮捕对象,3,1
raw:遇袭,3,1
raw:部署工作,3,1
raw:部署防堵,3,1
raw:配置,3,1
raw:配置于,3,1
raw:酝酿组织,3,1
raw:采购地,3,1
raw:里应外合,3,1
raw:重点清查,3,1
raw:重组,3,1
raw:销毁,3,1
raw:锻炼,3,1
raw:阅读对象,3,1
raw:阅读材料,3,1
raw:队长,3,1
raw:防堵于,3,1
raw:防守地点,3,1
raw:防御方,3,1
raw:防御部署,3,1
raw:阵亡,3,1
raw:阶级斗争,3,1
raw:阻击部署,3,1
raw:阻挠,3,1
raw:隐蔽身份,3,1
raw:集中主力于,3,1
raw:集中整编,3,1
raw:预警,3,1
raw:领导-单位,3,1
raw:领导-据点,3,1
raw:领导-根据地,3,1
raw:领导/联系,3,1
raw:领导与地点,3,1
raw:领导与活动区域,3,1
raw:领导中心,3,1
raw:领导关怀,3,1
raw:领导开展工作,3,1
raw:领导成员,3,1
raw:领导派遣,3,1
raw:领导配合,3,1
raw:领导隶属,3,1
raw:题字关联,3,1
raw:食用,3,1
raw:馈赠,3,1
raw:驱动,3,1
raw:驻,3,1
raw:驻扎地点,3,1
raw:驻防于,3,1
raw:高唱,3,1
raw:鼓动,3,1
died_during,2,0
raw:上升,2,1
raw:上升为,2,1
raw:上报,2,1
raw:上级-下级,2,1
raw:下令杀害,2,1
raw:下达任务,2,1
raw:下达指示,2,1
raw:下达训令,2,1
raw:不屈,2,1
raw:东进,2,1
raw:中断联系,2,1
raw:中队长,2,1
raw:临近,2,1
raw:主体-推动,2,1
raw:主体事件,2,1
raw:主办单位,2,1
raw:主导机构,2,1
raw:主导者-事件,2,1
raw:主张/马上暴动,2,1
raw:主持/参与,2,1
raw:主持/领导,2,1
raw:主持会议,2,1
raw:主持出版,2,1
raw:主持制定,2,1
raw:主持地点,2,1
raw:主演,2,1
raw:主管,2,1
raw:主讲人,2,1
raw:主讲者,2,1
raw:举办地点-人物,2,1
raw:举办训练班,2,1
raw:举办骨干培训班,2,1
raw:举报,2,1
raw:义务,2,1
raw:书写宣传,2,1
raw:争取/利用,2,1
raw:争取合作,2,1
raw:争取团结,2,1
raw:事/人,2,1
raw:事/物,2,1
raw:事件-决策,2,1
raw:事件-地点关联,2,1
raw:事件-应对,2,1
raw:事件-战斗,2,1
raw:事件-手段,2,1
raw:事件-政权,2,1
raw:事件-时间,2,1
raw:事件-目标,2,1
raw:事件-记录者,2,1
raw:事件与人物,2,1
raw:事件与组织关系,2,1
raw:事件与行动,2,1
raw:事件关系,2,1
raw:事件发展,2,1
raw:事件发生地-相关人物,2,1
raw:事件地点关系,2,1
raw:事件归属,2,1
raw:事件成果,2,1
raw:事件时间关联,2,1
raw:事件载体,2,1
raw:事迹发生地,2,1
raw:互助,2,1
raw:互助关系,2,1
raw:交予,2,1
raw:交付,2,1
raw:交待任务,2,1
raw:交战/追剿,2,1
raw:交械,2,1
raw:交涉于,2,1
raw:交纳,2,1
raw:交给,2,1
raw:交通线连接,2,1
raw:交通网络,2,1
raw:交通路径,2,1
raw:交通通道,2,1
raw:产业关联,2,1
raw:亲临,2,1
raw:亲属,2,1
raw:人事任命,2,1
raw:人事安排,2,1
raw:人员-组织,2,1
raw:人员调动,2,1
raw:人物-事件关联,2,1
raw:人物-任职,2,1
raw:人物-关联,2,1
raw:人物-决策,2,1
raw:人物-创建,2,1
raw:人物-反思,2,1
raw:人物-地域,2,1
raw:人物-总结,2,1
raw:人物-时间,2,1
raw:人物-籍贯/活动地,2,1
raw:人物-组成,2,1
raw:人物-身份,2,1
raw:人物与人物关联,2,1
raw:人物任职,2,1
raw:人物塑造,2,1
raw:人物组织关系,2,1
raw:仇视,2,1
raw:介绍/入党,2,1
raw:介绍/座谈,2,1
raw:代号,2,1
raw:代替,2,1
raw:代理区长,2,1
raw:代表与行动,2,1
raw:令,2,1
raw:任务交办,2,1
raw:任务地点,2,1
raw:任务完成,2,1
raw:任务指令,2,1
raw:任命/代行指挥,2,1
raw:任职与活动,2,1
raw:任职安排,2,1
raw:企图吞并,2,1
raw:企图夺取,2,1
raw:企图杀害,2,1
raw:伏击于,2,1
raw:伏击地点,2,1
raw:休养于,2,1
raw:休整于,2,1
raw:优待/教育,2,1
raw:会师组成,2,1
raw:传播者-作品,2,1
raw:传播者-场所,2,1
raw:传播者-接受者,2,1
raw:传播者-物,2,1
raw:传播者-组织,2,1
raw:传播者与媒介,2,1
raw:传达命令,2,1
raw:传达对象,2,1
raw:传递党组织关系,2,1
raw:传递路径,2,1
raw:传颂,2,1
raw:伴随事件,2,1
raw:作业,2,1
raw:作为代表参加,2,1
raw:作出于,2,1
raw:作战-地点,2,1
raw:作战/转移,2,1
raw:作战地,2,1
raw:作战成果,2,1
raw:作战扩大,2,1
raw:作战指令,2,1
raw:作战时间,2,1
raw:作战活动,2,1
raw:作战配合,2,1
raw:作者-事件,2,1
raw:使用关联,2,1
raw:使用对抗,2,1
raw:使用载体,2,1
raw:供出关系,2,1
raw:供应负责人,2,1
raw:供稿,2,1
raw:供认,2,1
raw:依据文献,2,1
raw:依赖关系,2,1
raw:依附,2,1
raw:侵占/进犯,2,1
raw:侵害,2,1
raw:侵扰区域,2,1
raw:侵扰对象,2,1
raw:俘虏关系,2,1
raw:俘虏对象,2,1
raw:保护/动员,2,1
raw:保护/支持,2,1
raw:保护文物,2,1
raw:保护转移,2,1
raw:保护重用,2,1
raw:保留,2,1
raw:保管关系,2,1
raw:保释关系,2,1
raw:保释对象,2,1
raw:保障对象,2,1
raw:信息中转,2,1
raw:信息传递者,2,1
raw:信息提供,2,1
raw:修理,2,1
raw:候补委员,2,1
raw:借宿,2,1
raw:借粮,2,1
raw:借鉴,2,1
raw:借阅,2,1
raw:倾向,2,1
raw:假投降,2,1
raw:兄弟,2,1
raw:兄弟关系,2,1
raw:充实,2,1
raw:先锋参与,2,1
raw:光复,2,1
raw:克服于,2,1
raw:入党介绍,2,1
raw:入党地,2,1
raw:入党批准,2,1
raw:入学,2,1
raw:公平交易,2,1
raw:公开身份,2,1
raw:共牺牲,2,1
raw:关于,2,1
raw:关心编写,2,1
raw:关怀与教育,2,1
raw:关联-被捕者,2,1
raw:关联/同属,2,1
raw:关联/引荐,2,1
raw:关联事件-事件,2,1
raw:关联事件与据点,2,1
raw:关联事件与组织,2,1
raw:关联人,2,1
raw:关联人员,2,1
raw:关联人物-事件,2,1
raw:关联内容,2,1
raw:关联地-人,2,1
raw:关联地区-人物,2,1
raw:关联地点-群体,2,1
raw:关联媒体,2,1
raw:关联措施,2,1
raw:关联线路,2,1
raw:关联背景,2,1
raw:关联行动,2,1
raw:关键人物,2,1
raw:兵临,2,1
raw:兵源,2,1
raw:兵源/活动,2,1
raw:养护,2,1
raw:兼任校长,2,1
raw:内部分裂,2,1
raw:冒充,2,1
raw:写信劝降,2,1
raw:军事-区域,2,1
raw:军事会合,2,1
raw:军事侦察,2,1
raw:军事关系,2,1
raw:军事包围-战略目标,2,1
raw:军事合围,2,1
raw:军事封锁,2,1
raw:军事布防,2,1
raw:军事挺进,2,1
raw:军事搜剿,2,1
raw:军事撤退,2,1
raw:军事支持,2,1
raw:军事清剿,2,1
raw:军事目标关联,2,1
raw:军事管辖,2,1
raw:军事联合,2,1
raw:军事联络,2,1
raw:军事胜利,2,1
raw:军事行动-地点,2,1
raw:军事行动-目标地,2,1
raw:军事行动影响区域,2,1
raw:军事行动路线,2,1
raw:军事谈判,2,1
raw:军事进剿,2,1
raw:军事镇压,2,1
raw:军事隶属,2,1
raw:农运活动,2,1
raw:冲破,2,1
raw:冲突双方,2,1
raw:冲突地,2,1
raw:冲突方,2,1
raw:决定开辟,2,1
raw:决定歼灭,2,1
raw:决定移交,2,1
raw:决定过江入,2,1
raw:决战,2,1
raw:决策-对象,2,1
raw:决策-执行,2,1
raw:决策与执行,2,1
raw:决策地点,2,1
raw:决策执行,2,1
raw:决策指导,2,1
raw:决策部署,2,1
raw:决裂,2,1
raw:准备于,2,1
raw:准备阶段,2,1
raw:出售,2,1
raw:出土于,2,1
raw:出席活动,2,1
raw:出版于/记录于,2,1
raw:出版地,2,1
raw:出版机构,2,1
raw:出版者,2,1
raw:出现,2,1
raw:出生关联,2,1
raw:出生地/活动区域,2,1
raw:出生地/活动地点,2,1
raw:出面维护,2,1
raw:分到,2,1
raw:分化打击,2,1
raw:分建,2,1
raw:分得,2,1
raw:分支-总机构,2,1
raw:分析对象,2,1
raw:分编,2,1
raw:分裂主义对抗,2,1
raw:分设,2,1
raw:分路执行,2,1
raw:分部,2,1
raw:切断,2,1
raw:刊载,2,1
raw:列为,2,1
raw:创作于,2,1
raw:创作传播,2,1
raw:创作作品,2,1
raw:创作关系,2,1
raw:创作内容,2,1
raw:创作反映,2,1
raw:创作地,2,1
raw:创作时间,2,1
raw:创作纪念,2,1
raw:创作表达,2,1
raw:创办/主持,2,1
raw:创办/迁址,2,1
raw:创办方,2,1
raw:创建/指挥,2,1
raw:创建根据地于,2,1
raw:创建组织,2,1
raw:创建者-地点,2,1
raw:创建者-场所,2,1
raw:创建者-机构,2,1
raw:创建者-被创建物,2,1
raw:创建者与作品,2,1
raw:创建者关系,2,1
raw:创造条件,2,1
raw:创造苏区,2,1
raw:判断,2,1
raw:利于,2,1
raw:别名,2,1
raw:制作/组织,2,1
raw:制作方,2,1
raw:制定-策略,2,1
raw:制定执行,2,1
raw:制定方案,2,1
raw:制定者-成果,2,1
raw:制度关联,2,1
raw:制度实践,2,1
raw:制度实践地,2,1
raw:制造匪患,2,1
raw:制造者,2,1
raw:刻印/赶印,2,1
raw:刻印地点,2,1
raw:前往地,2,1
raw:前提,2,1
raw:前置,2,1
raw:前置条件,2,1
raw:剥削关系,2,1
raw:剥削区域,2,1
raw:剪彩,2,1
raw:副队长,2,1
raw:剿匪于,2,1
raw:剿灭于,2,1
raw:剿灭关系,2,1
raw:剿灭对象,2,1
raw:剿灭目标,2,1
raw:劝说关系,2,1
raw:劝说对象,2,1
raw:劝谏,2,1
raw:劝阻者,2,1
raw:劝降失败,2,1
raw:办公地,2,1
raw:办公场所,2,1
raw:功能定位,2,1
raw:动向,2,1
raw:动员/安排,2,1
raw:动员关系,2,1
raw:动员升学,2,1
raw:动员者,2,1
raw:助力,2,1
raw:包围于,2,1
raw:包围区域,2,1
raw:包括,2,1
raw:化名,2,1
raw:医疗支持者,2,1
raw:医疗支援,2,1
raw:升华,2,1
raw:协助-地点,2,1
raw:协助开办,2,1
raw:协助抓捕,2,1
raw:协助攻克,2,1
raw:协助渡江,2,1
raw:协助者-事件,2,1
raw:协助解放,2,1
raw:协同解放,2,1
raw:协商结果,2,1
raw:占,2,1
raw:占据阵地,2,1
raw:占领地,2,1
raw:危害,2,1
raw:历史延续,2,1
raw:历史教训,2,1
raw:历史背景关联,2,1
raw:压制对象,2,1
raw:压迫与反抗,2,1
raw:原任职地,2,1
raw:原属关系,2,1
raw:参与/支持,2,1
raw:参与/牺牲于,2,1
raw:参与/见证,2,1
raw:参与/遇难于,2,1
raw:参与与被攻击,2,1
raw:参与于,2,1
raw:参与决策,2,1
raw:参与准备,2,1
raw:参与力量,2,1
raw:参与同一事件,2,1
raw:参与围剿,2,1
raw:参与地区,2,1
raw:参与实践,2,1
raw:参与开辟,2,1
raw:参与战役,2,1
raw:参与抓捕,2,1
raw:参与揭露,2,1
raw:参与攻克,2,1
raw:参与攻占,2,1
raw:参与活动地点,2,1
raw:参与牺牲,2,1
raw:参与组建,2,1
raw:参与编纂,2,1
raw:参与者-场所,2,1
raw:参与者-对象,2,1
raw:参与解放,2,1
raw:参与起草,2,1
raw:参会,2,1
raw:参会地点,2,1
raw:参军于,2,1
raw:参军对象,2,1
raw:参加工作会议于,2,1
raw:参战人员,2,1
raw:参战方,2,1
raw:参谋,2,1
raw:反围剿,2,1
raw:反间谍行动,2,1
raw:发出命令,2,1
raw:发动/强夺,2,1
raw:发动/成立,2,1
raw:发动/教育,2,1
raw:发动/组织,2,1
raw:发动关系,2,1
raw:发动叛乱,2,1
raw:发动者,2,1
raw:发展-下属组织,2,1
raw:发展入团,2,1
raw:发展团员,2,1
raw:发展地,2,1
raw:发展成果,2,1
raw:发展自,2,1
raw:发布主体,2,1
raw:发布关系,2,1
raw:发布命令于,2,1
raw:发布布告,2,1
raw:发布平台,2,1
raw:发布政策,2,1
raw:发布机构-事件,2,1
raw:发布物,2,1
raw:发布者-作品,2,1
raw:发布者-执行者,2,1
raw:发往地,2,1
raw:发现与培养,2,1
raw:发生地-时间,2,1
raw:发行者,2,1
raw:发表声明,2,1
raw:发表演说,2,1
raw:发表讲话,2,1
raw:发言者-事件,2,1
raw:发起与教学,2,1
raw:发起人-参与者,2,1
raw:发起成立,2,1
raw:发起者-组织,2,1
raw:取代,2,1
raw:取得联系,2,1
raw:取缔,2,1
raw:取道,2,1
raw:受伤,2,1
raw:受刑,2,1
raw:受助,2,1
raw:受害方,2,1
raw:受援地,2,1
raw:受益,2,1
raw:受益者,2,1
raw:受蛊惑叛变,2,1
raw:受迫害,2,1
raw:受领导于,2,1
raw:受鼓舞,2,1
raw:叛变出卖,2,1
raw:叛变导致破坏,2,1
raw:叛变影响,2,1
raw:叛变逮捕,2,1
raw:叛变镇压,2,1
raw:叛徒关系,2,1
raw:召开大会,2,1
raw:召开大会于,2,1
raw:合作方,2,1
raw:合作组织,2,1
raw:合兵,2,1
raw:合围/歼灭,2,1
raw:合围歼灭,2,1
raw:合围清剿,2,1
raw:合围进剿,2,1
raw:合并成立,2,1
raw:合并组建,2,1
raw:合编为,2,1
raw:同名,2,1
raw:同情,2,1
raw:同甘共苦,2,1
raw:同窗好友,2,1
raw:同谋,2,1
raw:听取,2,1
raw:启示,2,1
raw:吸引,2,1
raw:吸收成员,2,1
raw:吸纳对象,2,1
raw:吹响,2,1
raw:告发,2,1
raw:呼吁揭露,2,1
raw:命令剿灭,2,1
raw:命名/纪念,2,1
raw:和谈,2,1
raw:响应关系,2,1
raw:响应号召,2,1
raw:响应地区,2,1
raw:唤醒,2,1
raw:商定,2,1
raw:喊话,2,1
raw:嘱咐,2,1
raw:回乡,2,1
raw:回忆/证实,2,1
raw:回忆证实,2,1
raw:回报,2,1
raw:回答与指引,2,1
raw:回赠,2,1
raw:因,2,1
raw:团结互助,2,1
raw:团长/政委,2,1
raw:围击,2,1
raw:围剿/追击,2,1
raw:围剿/镇压,2,1
raw:围剿关系,2,1
raw:围剿对象,2,1
raw:围剿行动,2,1
raw:围点打援,2,1
raw:围追,2,1
raw:围追堵截,2,1
raw:地下工作,2,1
raw:地域-人物,2,1
raw:地域依托,2,1
raw:地域包含,2,1
raw:地域实践,2,1
raw:地点-单位,2,1
raw:地点-场所,2,1
raw:地点-活动,2,1
raw:地点-行动,2,1
raw:地点与地点关联,2,1
raw:地理关联-事件,2,1
raw:地理区域-事件,2,1
raw:地理归属,2,1
raw:地理联系,2,1
raw:地理连通,2,1
raw:场所-参与者,2,1
raw:场所-物,2,1
raw:坐镇,2,1
raw:坐镇指挥,2,1
raw:坚守抗击,2,1
raw:坚守阵地,2,1
raw:垄断,2,1
raw:埋伏地点,2,1
raw:埋葬,2,1
raw:培养-输送,2,1
raw:培训关系,2,1
raw:培训地点,2,1
raw:壮大,2,1
raw:壮烈执行,2,1
raw:声援关系,2,1
raw:声讨,2,1
raw:处决行动,2,1
raw:处分,2,1
raw:处分对象,2,1
raw:处置地点,2,1
raw:夹击/追剿,2,1
raw:夺取地点,2,1
raw:夺回,2,1
raw:奉令,2,1
raw:奔袭围歼,2,1
raw:奔赴,2,1
raw:委托培训,2,1
raw:媒介-事件,2,1
raw:存放位置,2,1
raw:存放物品,2,1
raw:学习/参与,2,1
raw:学习与活动地点,2,1
raw:学习关联,2,1
raw:学习地,2,1
raw:学习场所,2,1
raw:学习机构,2,1
raw:学习讨论,2,1
raw:学生,2,1
raw:学生骨干,2,1
raw:安慰,2,1
raw:安排接头,2,1
raw:安排隐蔽,2,1
raw:定居地,2,1
raw:实施内容,2,1
raw:实施暴行,2,1
raw:实现期,2,1
raw:实现目标,2,1
raw:实践主体,2,1
raw:实践依据,2,1
raw:实践内容,2,1
raw:实践场域,2,1
raw:实践成果,2,1
raw:实践来源,2,1
raw:实践案例,2,1
raw:审判关系,2,1
raw:审判参与者,2,1
raw:审判地点,2,1
raw:审判处决,2,1
raw:审讯地,2,1
raw:审讯机构,2,1
raw:审问,2,1
raw:宣传/分粮,2,1
raw:宣传/发动,2,1
raw:宣传争取,2,1
raw:宣传于,2,1
raw:宣传传播,2,1
raw:宣传地,2,1
raw:宣传媒介,2,1
raw:宣传工具-使用者,2,1
raw:宣传报道,2,1
raw:宣传政策,2,1
raw:宣传榜样,2,1
raw:宣传渗透,2,1
raw:宣传者与被宣传者,2,1
raw:宣传阵地,2,1
raw:宣判枪决,2,1
raw:宣布起义,2,1
raw:宣誓地点,2,1
raw:宿营,2,1
raw:寄语,2,1
raw:密授,2,1
raw:对峙,2,1
raw:对待,2,1
raw:对立关系,2,1
raw:寻找关系,2,1
raw:寻求,2,1
raw:导致停止,2,1
raw:导致解体,2,1
raw:封锁对象,2,1
raw:射击击毙,2,1
raw:尝试,2,1
raw:居住地关联,2,1
raw:展开,2,1
raw:履职,2,1
raw:巡视区域,2,1
raw:工作-参与者,2,1
raw:工作/被捕,2,1
raw:工作中心,2,1
raw:工作地点-人物,2,1
raw:工作布置,2,1
raw:工作延伸,2,1
raw:工作汇报,2,1
raw:工作隶属,2,1
raw:工具-事件,2,1
raw:工具使用,2,1
raw:布置工作,2,1
raw:带领至,2,1
raw:帮助与指导,2,1
raw:帮助关系,2,1
raw:帮助对象,2,1
raw:帮助改造,2,1
raw:平反,2,1
raw:并列推进,2,1
raw:庇护,2,1
raw:序幕,2,1
raw:应对措施,2,1
raw:应用于,2,1
raw:建党于,2,1
raw:建制管理,2,1
raw:建立/活动,2,1
raw:建立交通站,2,1
raw:建立单位,2,1
raw:建立机构,2,1
raw:建立运作,2,1
raw:建议区域,2,1
raw:建设关系,2,1
raw:开展工作地点,2,1
raw:开展游击战争,2,1
raw:开展群众工作,2,1
raw:开展运动,2,1
raw:开展革命活动,2,1
raw:开辟地区,2,1
raw:开除,2,1
raw:引导与响应,2,1
raw:引导关系,2,1
raw:引诱,2,1
raw:强令进攻,2,1
raw:形式,2,1
raw:影响与失败原因,2,1
raw:影响因素,2,1
raw:征粮,2,1
raw:征集商借,2,1
raw:得出,2,1
raw:怀念者,2,1
raw:思想启蒙,2,1
raw:思想引导,2,1
raw:总结推广,2,1
raw:总结教训,2,1
raw:恋爱关系,2,1
raw:恢复关系地点,2,1
raw:恢复组织关系,2,1
raw:恳请,2,1
raw:悬赏,2,1
raw:悼念关系,2,1
raw:悼念者,2,1
raw:情侣关系,2,1
raw:情报关系,2,1
raw:情报发布,2,1
raw:情报据点,2,1
raw:情报搜集,2,1
raw:情报搜集区域,2,1
raw:情报通报,2,1
raw:惩治,2,1
raw:惩治对象,2,1
raw:感激,2,1
raw:成员隶属,2,1
raw:成熟期,2,1
raw:成立/领导,2,1
raw:成立领导,2,1
raw:战前动员,2,1
raw:战役地点关联,2,1
raw:战役指挥,2,1
raw:战役目标,2,1
raw:战役结果,2,1
raw:战斗/行军,2,1
raw:战斗地点关联,2,1
raw:战斗指挥地,2,1
raw:战斗指挥者,2,1
raw:战斗活动,2,1
raw:战斗牺牲,2,1
