原始谓词,规范谓词,断言数
raw:事件影响,influenced,7
raw:事件影响,raw:事件影响,7
raw:事件背景,raw:事件背景,7
raw:人物活动地点,raw:人物活动地点,7
raw:任书记,held_position_in,7
raw:会议参与,raw:会议参与,7
raw:传达者,raw:传达者,7
raw:作,raw:作,7
raw:作战区域,stationed_at,7
raw:作战单位,raw:作战单位,7
raw:作战范围,raw:作战范围,7
raw:使用工具,used_in_event,7
raw:供出,raw:供出,7
raw:保卫,protected,7
raw:倡导者,raw:倡导者,7
raw:关联事件发生地,occurred_at,7
raw:关联地点-组织,raw:关联地点-组织,7
raw:关联地点与事件,raw:关联地点与事件,7
raw:关联方,raw:关联方,7
raw:关键节点,raw:关键节点,7
raw:军事行动-目标区域,raw:军事行动-目标区域,7
raw:军事行动地点,fought_at,7
raw:军事行动地点,raw:军事行动地点,7
raw:军事追剿,raw:军事追剿,7
raw:决策主体,raw:决策主体,7
raw:分给,raw:分给,7
raw:创办者-机构,raw:创办者-机构,7
raw:创立者,raw:创立者,7
raw:前往地点,traveled_to,7
raw:剿灭,killed,7
raw:劝阻,raw:劝阻,7
raw:功能,raw:功能,7
raw:加强,raw:加强,7
raw:压制,raw:压制,7
raw:压迫对象,raw:压迫对象,7
raw:参与/领导,raw:参与/领导,7
raw:参与编辑,raw:参与编辑,7
raw:参战,participated_in,7
raw:反对者,opposed,7
raw:反应,raw:反应,7
raw:发生地点-人物,raw:发生地点-人物,7
raw:发言,raw:发言,7
raw:召开地,occurred_at,7
raw:合影,raw:合影,7
raw:同伙,raw:同伙,7
raw:同案犯,raw:同案犯,7
raw:启发,influenced,7
raw:吸收为党员,raw:吸收为党员,7
raw:地-事,raw:地-事,7
raw:地域-事件,occurred_at,7
raw:地点与事件关联,raw:地点与事件关联,7
raw:地点归属,raw:地点归属,7
raw:地理支撑,raw:地理支撑,7
raw:培养发展,raw:培养发展,7
raw:培养对象,trained,7
raw:处决对象,raw:处决对象,7
raw:委派,raw:委派,7
raw:实施对象,raw:实施对象,7
raw:实施范围,raw:实施范围,7
raw:实践区域,raw:实践区域,7
raw:审讯对象,raw:审讯对象,7
raw:宣布,created,7
raw:宣布成立,created,7
raw:对抗方,opposed,7
raw:尊重,raw:尊重,7
raw:就义于,raw:就义于,7
raw:尾追,raw:尾追,7
raw:属地,located_in,7
raw:工作指导,guided,7
raw:工作指导,raw:工作指导,7
raw:工作方法,raw:工作方法,7
raw:工作部署,raw:工作部署,7
raw:布置,implemented,7
raw:布置,organized,7
raw:布置任务,raw:布置任务,7
raw:带动,raw:带动,7
raw:平息,raw:平息,7
raw:建立地点,raw:建立地点,7
raw:建立政权,governed,7
raw:建立组织,raw:建立组织,7
raw:建立者,created,7
raw:开始,raw:开始,7
raw:开展地点,raw:开展地点,7
raw:开展活动,active_at,7
raw:开设,raw:开设,7
raw:引领,raw:引领,7
raw:影响区域,occurred_at,7
raw:思想来源,raw:思想来源,7
raw:成为,raw:成为,7
raw:成立于,raw:成立于,7
raw:战斗关系,raw:战斗关系,7
raw:战斗区域,occurred_at,7
raw:战斗地,fought_at,7
raw:战术,raw:战术,7
raw:战略支点,raw:战略支点,7
raw:战略配合,raw:战略配合,7
raw:所属地区,raw:所属地区,7
raw:执行单位,carried_out,7
raw:扩大,raw:扩大,7
raw:扶持,raw:扶持,7
raw:投奔,member_of,7
raw:抚恤,raw:抚恤,7
raw:抢渡,raw:抢渡,7
raw:押送,escorted,7
raw:抽调,raw:抽调,7
raw:担任主席,raw:担任主席,7
raw:担任区长,raw:担任区长,7
raw:担任大队长,raw:担任大队长,7
raw:拍摄,raw:拍摄,7
raw:指导原则,raw:指导原则,7
raw:指引,raw:指引,7
raw:指挥-战场,raw:指挥-战场,7
raw:指挥-被指挥,raw:指挥-被指挥,7
raw:指挥作战,commanded,7
raw:推动事件,raw:推动事件,7
raw:推行,implemented,7
raw:掩护对象,raw:掩护对象,7
raw:提升,raw:提升,7
raw:支撑关系,raw:支撑关系,7
raw:收留,raw:收留,7
raw:收藏,raw:收藏,7
raw:政委,held_position_in,7
raw:政策关联,raw:政策关联,7
raw:救治,raw:救治,7
raw:救济,raw:救济,7
raw:教学,raw:教学,7
raw:教育场所,raw:教育场所,7
raw:教育者,raw:教育者,7
raw:散发,raw:散发,7
raw:整编,organized,7
raw:整编关系,raw:整编关系,7
raw:整训,raw:整训,7
raw:斗争区域,raw:斗争区域,7
raw:时间延续,raw:时间延续,7
raw:标志,raw:标志,7
raw:核心,raw:核心,7
raw:武装斗争,raw:武装斗争,7
raw:歼灭对象,raw:歼灭对象,7
raw:汇报对象,reported_to,7
raw:派出,dispatched,7
raw:流传于,raw:流传于,7
raw:流散地点,raw:流散地点,7
raw:渡江作战,raw:渡江作战,7
raw:演讲地点,raw:演讲地点,7
raw:炸毁,raw:炸毁,7
raw:父子,raw:父子,7
raw:物资供应,raw:物资供应,7
raw:物资支持,supported,7
raw:理论依据,raw:理论依据,7
raw:申请,raw:申请,7
raw:破获,raw:破获,7
raw:窜入,raw:窜入,7
raw:立功,raw:立功,7
raw:筹备,organized,7
raw:精神实践,raw:精神实践,7
raw:精神指导,raw:精神指导,7
raw:组织-关联,raw:组织-关联,7
raw:组织-行动,carried_out,7
raw:组织-领导,raw:组织-领导,7
raw:组织委员,raw:组织委员,7
raw:组织成果,raw:组织成果,7
raw:组织所在地,raw:组织所在地,7
raw:经历事件,raw:经历事件,7
raw:经过地点,traveled_to,7
raw:编辑关系,raw:编辑关系,7
raw:署名,raw:署名,7
raw:翻印,raw:翻印,7
raw:考入,raw:考入,7
raw:考证,raw:考证,7
raw:联合,collaborated_with,7
raw:肃反迫害,raw:肃反迫害,7
raw:行动部署,dispatched,7
raw:行政区划,raw:行政区划,7
raw:行进路线,traveled_to,7
raw:补充,raw:补充,7
raw:被俘地点,raw:被俘地点,7
raw:被捕于,raw:被捕于,7
raw:被歼灭,raw:被歼灭,7
raw:视察地点,visited,7
raw:触发,raw:触发,7
raw:讲解,raw:讲解,7
raw:调查地点,raw:调查地点,7
raw:质问,raw:质问,7
raw:赠礼,raw:赠礼,7
raw:起始地,raw:起始地,7
raw:躲藏,raw:躲藏,7
raw:转移活动,raw:转移活动,7
raw:进军路线,raw:进军路线,7
raw:进逼,raw:进逼,7
raw:追歼,raw:追歼,7
raw:途经地点,traveled_to,7
raw:逮捕行动,raw:逮捕行动,7
raw:逼近,raw:逼近,7
raw:采购,raw:采购,7
raw:防堵,raw:防堵,7
raw:防御对象,raw:防御对象,7
raw:防御部署,stationed_at,7
raw:限制,raw:限制,7
raw:集结出发地,raw:集结出发地,7
raw:领导-地区,governed,7
raw:领导-活动区域,raw:领导-活动区域,7
raw:领导/配合,raw:领导/配合,7
raw:领导与成员,raw:领导与成员,7
raw:领导决策,led,7
raw:领导指导,raw:领导指导,7
raw:领导指挥,raw:领导指挥,7
raw:领导暴动,raw:领导暴动,7
raw:领导活动地,raw:领导活动地,7
raw:领导者-事件,led,7
raw:领导职务,raw:领导职务,7
raw:题词关联,raw:题词关联,7
raw:驱逐,raw:驱逐,7
raw:驻军,raw:驻军,7
raw:驻防于,stationed_at,7
active_during,active_during,6
colleague_of,raw:colleague_of,6
died_during,raw:died_during,6
raw:上下级关系,raw:上下级关系,6
raw:上交,raw:上交,6
raw:中心区域,raw:中心区域,6
raw:主导事件,led,6
raw:举办地点,occurred_at,6
raw:事件-发生于,occurred_at,6
raw:事件与人物关联,raw:事件与人物关联,6
raw:事件关联地,raw:事件关联地,6
raw:事迹,raw:事迹,6
raw:互动关系,raw:互动关系,6
raw:交通节点,raw:交通节点,6
raw:人-物,raw:人-物,6
raw:人员调配,raw:人员调配,6
raw:人物-分布于,raw:人物-分布于,6
raw:人物-参与,participated_in,6
raw:人物-执行,raw:人物-执行,6
raw:人物-物,raw:人物-物,6
raw:人物与事件关系,raw:人物与事件关系,6
raw:介绍者,introduced,6
raw:任书记,raw:任书记,6
raw:任命关系,appointed,6
raw:任教人员,raw:任教人员,6
raw:任教地点,raw:任教地点,6
raw:企图,raw:企图,6
raw:伏击歼灭,raw:伏击歼灭,6
raw:会合/东窜,raw:会合/东窜,6
raw:会议地点,occurred_at,6
raw:传播者-载体,raw:传播者-载体,6
raw:传播路径,raw:传播路径,6
raw:佐证,raw:佐证,6
raw:作出,raw:作出,6
raw:佯攻,raw:佯攻,6
raw:保护者,raw:保护者,6
raw:保护行动,raw:保护行动,6
raw:信仰,raw:信仰,6
raw:信息传播,raw:信息传播,6
raw:修复,raw:修复,6
raw:做工作,raw:做工作,6
raw:公审,raw:公审,6
raw:公布,raw:公布,6
raw:关联地区人物,raw:关联地区人物,6
raw:军事目标,raw:军事目标,6
raw:军事行动区域,active_at,6
raw:决策支持,raw:决策支持,6
raw:出击,raw:出击,6
raw:出版物,raw:出版物,6
raw:分发粮食,raw:分发粮食,6
raw:创建者-根据地,raw:创建者-根据地,6
raw:创造/参与,raw:创造/参与,6
raw:制定依据,raw:制定依据,6
raw:制造,created,6
raw:劝降对象,raw:劝降对象,6
raw:协助对象,raw:协助对象,6
raw:单线联系,raw:单线联系,6
raw:历史回顾,raw:历史回顾,6
raw:参与人员,participated_in,6
raw:参与制作,raw:参与制作,6
raw:参与机构,raw:参与机构,6
raw:参与领导,raw:参与领导,6
raw:发展为党员,raw:发展为党员,6
raw:发展组织,raw:发展组织,6
raw:发布指示,raw:发布指示,6
raw:发起者-事件,led,6
raw:召集/部署,raw:召集/部署,6
raw:合并关系,raw:合并关系,6
raw:同乡关系,raw:同乡关系,6
raw:同僚,colleague_of,6
raw:同属活动区域,raw:同属活动区域,6
raw:同意,raw:同意,6
raw:向导,guided,6
raw:启蒙,raw:启蒙,6
raw:呼吁,raw:呼吁,6
raw:嘱托,raw:嘱托,6
raw:地-地关联,raw:地-地关联,6
raw:地点-机构,raw:地点-机构,6
raw:地理依托,raw:地理依托,6
raw:场所-事件,raw:场所-事件,6
raw:声援,supported,6
raw:委任,raw:委任,6
raw:安排,organized,6
raw:安排工作,raw:安排工作,6
raw:安置地点,raw:安置地点,6
raw:实施地点,raw:实施地点,6
raw:实施者,carried_out,6
raw:实施者,raw:实施者,6
raw:对立,raw:对立,6
raw:导火索,raw:导火索,6
raw:射击,raw:射击,6
raw:工作据点,raw:工作据点,6
raw:工作重心,raw:工作重心,6
raw:带队,led,6
raw:应用,raw:应用,6
raw:建立根据地,stationed_at,6
raw:建立联系,raw:建立联系,6
raw:开会,raw:开会,6
raw:归属,located_in,6
raw:形成于,raw:形成于,6
raw:思想影响,raw:思想影响,6
raw:情报关联,raw:情报关联,6
raw:情报协作,collaborated_with,6
raw:情报网络,raw:情报网络,6
raw:成立于,located_in,6
raw:战利品,raw:战利品,6
raw:战役对抗,raw:战役对抗,6
raw:战斗事件,raw:战斗事件,6
raw:战斗地,raw:战斗地,6
raw:战略核心,raw:战略核心,6
raw:所属,located_in,6
raw:打击目标,raw:打击目标,6
raw:打破,raw:打破,6
raw:扣留,raw:扣留,6
raw:执行地,raw:执行地,6
raw:批准入党,raw:批准入党,6
raw:批准成立,raw:批准成立,6
raw:抓捕对象,raw:抓捕对象,6
raw:投身,participated_in,6
raw:抢修,raw:抢修,6
raw:报告,reported_to,6
raw:抵抗,raw:抵抗,6
raw:指导员,raw:指导员,6
raw:指导工作,raw:指导工作,6
raw:指挥-战斗地点,fought_at,6
raw:指挥事件,commanded,6
raw:指挥对抗,opposed,6
raw:指挥对象,raw:指挥对象,6
raw:指控,raw:指控,6
raw:挖掘,raw:挖掘,6
raw:探望,raw:探望,6
raw:接上关系,raw:接上关系,6
raw:接受任务,raw:接受任务,6
raw:接受领导,raw:接受领导,6
raw:控制对象,raw:控制对象,6
raw:推动,influenced,6
raw:搜查,raw:搜查,6
raw:撰稿,raw:撰稿,6
raw:撰稿人,raw:撰稿人,6
raw:支援者,supported,6
raw:收买,raw:收买,6
raw:收养,raw:收养,6
raw:攻占目标,raw:攻占目标,6
raw:放弃,raw:放弃,6
raw:政治争取,raw:政治争取,6
raw:政治动员,raw:政治动员,6
raw:政策宣传,raw:政策宣传,6
raw:教授,raw:教授,6
raw:教育对象,raw:教育对象,6
raw:教育机构,raw:教育机构,6
raw:教育经历,raw:教育经历,6
raw:时,raw:时,6
raw:时间-地点,raw:时间-地点,6
raw:机构-事件,raw:机构-事件,6
raw:机构-地点,raw:机构-地点,6
raw:架桥,raw:架桥,6
raw:核心成员,raw:核心成员,6
raw:检举,raw:检举,6
raw:毗邻,raw:毗邻,6
raw:汇报对象,raw:汇报对象,6
raw:汇报工作,reported_to,6
raw:活动场所-人物,active_at,6
raw:活动轨迹,raw:活动轨迹,6
raw:活动转移,raw:活动转移,6
raw:爆破,raw:爆破,6
raw:物品关联,raw:物品关联,6
raw:物资供给,raw:物资供给,6
raw:物资转运,raw:物资转运,6
raw:牺牲时间,raw:牺牲时间,6
raw:生俘,raw:生俘,6
raw:目的地,traveled_to,6
raw:突围出发地,raw:突围出发地,6
raw:策反目标,raw:策反目标,6
raw:策反联系,raw:策反联系,6
raw:策反行动,raw:策反行动,6
raw:管理关系,governed,6
raw:管理机构,raw:管理机构,6
raw:精神来源,raw:精神来源,6
raw:精神象征,raw:精神象征,6
raw:纪念活动,raw:纪念活动,6
raw:组织-成果,raw:组织-成果,6
raw:组织-文物,raw:组织-文物,6
raw:组织-活动范围,raw:组织-活动范围,6
raw:组织与事件,organized,6
raw:组织主体,raw:组织主体,6
raw:组织创建,raw:组织创建,6
raw:组织架构,raw:组织架构,6
raw:组织活动地点,stationed_at,6
raw:组织派遣,raw:组织派遣,6
raw:组织者-参与者,raw:组织者-参与者,6
raw:组织者-被组织者,raw:组织者-被组织者,6
raw:组织职务,raw:组织职务,6
raw:经济政策实施区域,raw:经济政策实施区域,6
raw:结束,raw:结束,6
raw:编入关系,raw:编入关系,6
raw:编组,raw:编组,6
raw:职务行动,raw:职务行动,6
raw:职务身份,raw:职务身份,6
raw:联系点,raw:联系点,6
raw:联络节点,raw:联络节点,6
raw:致词,raw:致词,6
raw:英勇就义,raw:英勇就义,6
raw:英勇牺牲,raw:英勇牺牲,6
raw:营救对象,raw:营救对象,6
raw:落脚,raw:落脚,6
raw:行为关联,raw:行为关联,6
raw:行军/筹粮,raw:行军/筹粮,6
raw:行动-地点,raw:行动-地点,6
raw:行动发生地,raw:行动发生地,6
raw:行动路径,traveled_to,6
raw:被关押于,imprisoned_at,6
raw:被捕同案,raw:被捕同案,6
raw:被斗争,raw:被斗争,6
raw:被歼,raw:被歼,6
raw:视察,visited,6
raw:认同,raw:认同,6
raw:认定,raw:认定,6
raw:设置,raw:设置,6
raw:访问记录,raw:访问记录,6
raw:评价者,raw:评价者,6
raw:识破,raw:识破,6
raw:诉求对象,raw:诉求对象,6
raw:诬陷,raw:诬陷,6
raw:请愿,raw:请愿,6
raw:调往,dispatched,6
raw:调解,raw:调解,6
raw:象征物,raw:象征物,6
raw:负责联系,raw:负责联系,6
raw:赔偿,raw:赔偿,6
raw:赞扬,raw:赞扬,6
raw:赴,raw:赴,6
raw:起义投诚,raw:起义投诚,6
raw:路线节点,raw:路线节点,6
raw:转化,raw:转化,6
raw:转移行动,raw:转移行动,6
raw:辩护,raw:辩护,6
raw:迁址,raw:迁址,6
raw:迂回,raw:迂回,6
raw:进军/解放,raw:进军/解放,6
raw:进攻路线,raw:进攻路线,6
raw:退守,raw:退守,6
raw:送别,raw:送别,6
raw:逃窜,raw:逃窜,6
raw:通信联系,raw:通信联系,6
raw:通缉,raw:通缉,6
raw:遇害,raw:遇害,6
raw:部署于,stationed_at,6
raw:重创,raw:重创,6
raw:长征,raw:长征,6
raw:防务,raw:防务,6
raw:集中,raw:集中,6
raw:集结于,raw:集结于,6
raw:需要重判为schema关系,raw:关系待定,6
raw:面临,raw:面临,6
raw:领导-参与者,raw:领导-参与者,6
raw:领导-成员,raw:领导-成员,6
raw:领导/开展,raw:领导/开展,6
raw:领导与执行,raw:领导与执行,6
raw:领导建立,raw:领导建立,6
raw:领导指示,raw:领导指示,6
raw:领导机构,organized,6
raw:领导活动,led,6
raw:驰援,raw:驰援,6
raw:驻守地,raw:驻守地,6
raw:高呼,raw:高呼,6
active_during,raw:active_during,5
published_by,published_by,5
raw:下达命令,raw:下达命令,5
raw:争取工作,raw:争取工作,5
raw:争论,raw:争论,5
raw:事-物,raw:事-物,5
raw:事件-内容,raw:事件-内容,5
raw:事件-背景,raw:事件-背景,5
raw:事件形式,raw:事件形式,5
raw:交战于,raw:交战于,5
raw:交易,raw:交易,5
raw:交涉对象,raw:交涉对象,5
raw:交通联络,raw:交通联络,5
raw:交通连接,raw:交通连接,5
raw:亲临指挥,commanded,5
raw:人物-导致,raw:人物-导致,5
raw:人物-行为,raw:人物-行为,5
raw:人物与地域关联,raw:人物与地域关联,5
raw:介绍/联络,raw:介绍/联络,5
raw:介绍工作,raw:介绍工作,5
raw:任,held_position_in,5
raw:任务交接,raw:任务交接,5
raw:任务分配,raw:任务分配,5
raw:任务指示,raw:任务指示,5
raw:任务派遣,dispatched,5
raw:任教,worked_at,5
raw:任职地域,raw:任职地域,5
raw:任职机构,raw:任职机构,5
raw:伏击于,fought_at,5
raw:休整,raw:休整,5
raw:休整地,raw:休整地,5
raw:会合地,raw:会合地,5
raw:会议召开地,raw:会议召开地,5
raw:传递者,raw:传递者,5
raw:伪装身份,raw:伪装身份,5
raw:作业区域,raw:作业区域,5
raw:作工作,raw:作工作,5
raw:作战关联,raw:作战关联,5
raw:作战物资,raw:作战物资,5
raw:使用对象,used_artifact,5
raw:供给,raw:供给,5
raw:依托组织,raw:依托组织,5
raw:促使,raw:促使,5
raw:保护/营救,raw:保护/营救,5
raw:保护对象,protected,5
raw:保证,raw:保证,5
raw:保释,raw:保释,5
raw:军事协作,raw:军事协作,5
raw:军事协同,raw:军事协同,5
raw:军事指挥,commanded,5
raw:军事指挥关系,raw:军事指挥关系,5
raw:军事行动-地点,occurred_at,5
raw:军事行动发生地,raw:军事行动发生地,5
raw:军事行动目标,raw:军事行动目标,5
raw:军事解放,raw:军事解放,5
raw:军事进攻,raw:军事进攻,5
raw:冲击,raw:冲击,5
raw:冲锋,fought_at,5
raw:决策事件,raw:决策事件,5
raw:出卖者,raw:出卖者,5
raw:出发于,raw:出发于,5
raw:出生于,born_at,5
raw:击杀,killed,5
raw:分布于,raw:分布于,5
raw:刊登,raw:刊登,5
raw:划分,raw:划分,5
raw:创办人,raw:创办人,5
raw:创建者-组织,created,5
raw:办理,raw:办理,5
raw:加强领导,raw:加强领导,5
raw:北上,traveled_to,5
raw:区域-人物,raw:区域-人物,5
raw:协作单位,raw:协作单位,5
raw:协调,raw:协调,5
raw:印刷,raw:印刷,5
raw:原则,raw:原则,5
raw:参与会议,raw:参与会议,5
raw:参与关联,participated_in,5
raw:参与创办,raw:参与创办,5
raw:参与成立,raw:参与成立,5
raw:参与指挥,raw:参与指挥,5
raw:参考,raw:参考,5
raw:反扑,raw:反扑,5
raw:反抗对象,opposed,5
raw:反攻,raw:反攻,5
raw:反映对象,raw:反映对象,5
raw:发动对象,raw:发动对象,5
raw:发动群众,raw:发动群众,5
raw:发动群众组织游击武装,raw:发动群众组织游击武装,5
raw:发展为农协会员,raw:发展为农协会员,5
raw:发布载体,raw:发布载体,5
raw:发生于/安葬于,raw:发生于/安葬于,5
raw:发生在,occurred_at,5
raw:发行地,raw:发行地,5
raw:发起人-组织,raw:发起人-组织,5
raw:叛变破坏,raw:叛变破坏,5
raw:叛徒,raw:叛徒,5
raw:口述,raw:口述,5
raw:召见,raw:召见,5
raw:合作单位,raw:合作单位,5
raw:后续,raw:后续,5
raw:后续行动,raw:后续行动,5
raw:向导,raw:向导,5
raw:告密关系,raw:告密关系,5
raw:地区-特征,raw:地区-特征,5
raw:地理归属,located_in,5
raw:培养教育,trained,5
raw:培育,raw:培育,5
raw:培训来源,raw:培训来源,5
raw:处置对象,raw:处置对象,5
raw:夫妻,spouse_of,5
raw:奖励,raw:奖励,5
raw:奠定基础,raw:奠定基础,5
raw:委员,member_of,5
raw:威慑,raw:威慑,5
raw:存在,raw:存在,5
raw:学习/活动场所,raw:学习/活动场所,5
raw:学习对象,raw:学习对象,5
raw:完成,carried_out,5
raw:实施主体,carried_out,5
raw:实施场所,raw:实施场所,5
raw:实践,carried_out,5
raw:审定,raw:审定,5
raw:审批,raw:审批,5
raw:审查,raw:审查,5
raw:宣传教育,raw:宣传教育,5
raw:对抗-对象,raw:对抗-对象,5
raw:对比,raw:对比,5
raw:对象-事件,raw:对象-事件,5
raw:导致被捕,raw:导致被捕,5
raw:就义,died_at,5
raw:工作分配,stationed_at,5
raw:工作对象,worked_at,5
raw:工作指示,raw:工作指示,5
raw:师生关系,raw:师生关系,5
raw:带路关系,raw:带路关系,5
raw:带队,raw:带队,5
raw:带领宣传,raw:带领宣传,5
raw:并列关系,raw:并列关系,5
raw:并行,raw:并行,5
raw:建立关联,raw:建立关联,5
raw:建立根据地,raw:建立根据地,5
raw:建设者,raw:建设者,5
raw:开创,raw:开创,5
raw:开展斗争,raw:开展斗争,5
raw:征集对象,raw:征集对象,5
raw:总结于,raw:总结于,5
raw:恢复联系,raw:恢复联系,5
raw:悼念与继承,raw:悼念与继承,5
raw:情报来源,raw:情报来源,5
raw:情报泄露,raw:情报泄露,5
raw:成员-组织,member_of,5
raw:成果关联,raw:成果关联,5
raw:战斗于,raw:战斗于,5
raw:战斗参与,raw:战斗参与,5
raw:战斗目标,raw:战斗目标,5
raw:战术手段,raw:战术手段,5
raw:战果,raw:战果,5
raw:战略支撑,raw:战略支撑,5
raw:截获,raw:截获,5
raw:所属地,located_in,5
raw:所属部队,raw:所属部队,5
raw:打开,raw:打开,5
raw:打通,raw:打通,5
raw:执教,raw:执教,5
raw:执笔,raw:执笔,5
raw:执行地,occurred_at,5
raw:执行地点,occurred_at,5
raw:批复,raw:批复,5
raw:抓捕行动,raw:抓捕行动,5
raw:投敌,raw:投敌,5
raw:护卫,raw:护卫,5
raw:报告对象,raw:报告对象,5
raw:抵制,opposed,5
raw:抵抗,opposed,5
raw:担任主任,raw:担任主任,5
raw:担任师长,raw:担任师长,5
raw:担任校长,raw:担任校长,5
raw:拒绝,opposed,5
raw:拥护,supported,5
raw:指令下达,raw:指令下达,5
raw:指使,raw:指使,5
raw:指导/领导,raw:指导/领导,5
raw:指导对象,raw:指导对象,5
raw:指挥-执行,raw:指挥-执行,5
raw:指挥/牺牲,raw:指挥/牺牲,5
raw:指挥/部署,commanded,5
raw:指挥决策,commanded,5
raw:指挥决策,raw:指挥决策,5
raw:指挥攻坚,raw:指挥攻坚,5
raw:指挥者-事件,raw:指挥者-事件,5
raw:指挥部署,raw:指挥部署,5
raw:指控关系,raw:指控关系,5
raw:捉拿,raw:捉拿,5
raw:捐赠,raw:捐赠,5
raw:掌握政权,governed,5
raw:接头地点,raw:接头地点,5
raw:接洽,contacted,5
raw:控制,commanded,5
raw:推广,advocated,5
raw:推进/布防,raw:推进/布防,5
raw:掩伏,raw:掩伏,5
raw:掩埋,raw:掩埋,5
raw:掩护行动,raw:掩护行动,5
raw:提出主张,raw:提出主张,5
raw:提炼,raw:提炼,5
raw:揭发,raw:揭发,5
raw:搏斗,raw:搏斗,5
raw:撤职,raw:撤职,5
raw:操作,raw:操作,5
raw:支持单位,raw:支持单位,5
raw:支援地点,raw:支援地点,5
raw:收留关系,raw:收留关系,5
raw:收缴武器,raw:收缴武器,5
raw:改称,raw:改称,5
raw:改造对象,raw:改造对象,5
raw:攻坚,raw:攻坚,5
raw:政治斗争,raw:政治斗争,5
raw:政治谈判,raw:政治谈判,5
raw:救治地点,raw:救治地点,5
raw:教学关系,raw:教学关系,5
raw:教育指导,guided,5
raw:数据来源,raw:数据来源,5
raw:斗争目标,raw:斗争目标,5
raw:时间-事件,occurred_during,5
raw:时间范围,raw:时间范围,5
raw:暗杀,raw:暗杀,5
raw:机关驻地,raw:机关驻地,5
raw:机构-执行,raw:机构-执行,5
raw:构成关系,raw:构成关系,5
raw:枪决,raw:枪决,5
raw:查看,raw:查看,5
raw:核心人物,raw:核心人物,5
raw:根据地,raw:根据地,5
raw:武器装备,raw:武器装备,5
raw:死亡地点,raw:死亡地点,5
raw:殉难地,died_at,5
raw:求助,raw:求助,5
raw:没收财产,raw:没收财产,5
raw:活动地域,occurred_at,5
raw:活动基地,raw:活动基地,5
raw:活动基地,stationed_at,5
raw:派遣-被派遣,raw:派遣-被派遣,5
raw:派遣者,dispatched,5
raw:派遣者,raw:派遣者,5
raw:涉及地点,active_at,5
raw:渗透关系,raw:渗透关系,5
raw:游击区域,raw:游击区域,5
raw:潜伏于,raw:潜伏于,5
raw:潜伏地点,raw:潜伏地点,5
raw:激励,raw:激励,5
raw:照料,raw:照料,5
raw:照料物资,raw:照料物资,5
raw:煽动,raw:煽动,5
raw:父子关系,raw:父子关系,5
raw:物资,raw:物资,5
raw:物资输送,raw:物资输送,5
raw:物资运输,raw:物资运输,5
raw:瓦解对象,raw:瓦解对象,5
raw:留守,stationed_at,5
raw:盘剥,raw:盘剥,5
raw:目击,raw:目击,5
raw:目击者,raw:目击者,5
raw:相关事件发生地,raw:相关事件发生地,5
raw:相关人物与地点,raw:相关人物与地点,5
raw:相关区域,raw:相关区域,5
raw:相关机构,raw:相关机构,5
raw:破坏对象,raw:破坏对象,5
raw:移交关系,raw:移交关系,5
raw:移至,raw:移至,5
raw:突破目标,raw:突破目标,5
raw:筹办,organized,5
raw:筹粮,raw:筹粮,5
raw:管理,held_position_in,5
raw:管理者,governed,5
raw:籍贯/活动区域,raw:籍贯/活动区域,5
raw:精神指引,influenced,5
raw:纪念关系,raw:纪念关系,5
raw:组建地,raw:组建地,5
raw:组织-产物,raw:组织-产物,5
raw:组织-人员关联,raw:组织-人员关联,5
raw:组织-据点,raw:组织-据点,5
raw:组织/指挥,raw:组织/指挥,5
raw:组织/领导,led,5
raw:组织与地点,raw:组织与地点,5
raw:组织升级,raw:组织升级,5
raw:组织变更,raw:组织变更,5
raw:组织合并,raw:组织合并,5
raw:组织地点,occurred_at,5
raw:组织建立,created,5
raw:组织成员关系,member_of,5
raw:组织所在地,located_in,5
raw:组织指导,raw:组织指导,5
raw:组织据点,raw:组织据点,5
raw:组织管理,raw:组织管理,5
raw:组织者-活动,organized,5
raw:组织者-活动,raw:组织者-活动,5
raw:组织联络,contacted,5
raw:组织领导,led,5
raw:统一指挥,commanded,5
raw:统率,raw:统率,5
raw:继承关系,raw:继承关系,5
raw:编制隶属,raw:编制隶属,5
raw:编纂/审阅,raw:编纂/审阅,5
raw:缴获物,raw:缴获物,5
raw:群众工作,raw:群众工作,5
raw:群众运动,raw:群众运动,5
raw:联系地区,raw:联系地区,5
raw:联络中心,raw:联络中心,5
raw:联络单位,raw:联络单位,5
raw:联络点,contacted,5
raw:背景-事件,raw:背景-事件,5
raw:营救行动,rescued,5
raw:藏匿地,raw:藏匿地,5
raw:行军/转移,raw:行军/转移,5
raw:行动-结果,raw:行动-结果,5
raw:行动指向,raw:行动指向,5
raw:行政管辖,raw:行政管辖,5
raw:行进方向,raw:行进方向,5
raw:衍生关系,raw:衍生关系,5
raw:被俘虏,raw:被俘虏,5
raw:被处决,raw:被处决,5
raw:被捕关押,raw:被捕关押,5
raw:被捕审讯,raw:被捕审讯,5
raw:袭占,raw:袭占,5
raw:解释,raw:解释,5
raw:训令,raw:训令,5
raw:记录主体,raw:记录主体,5
raw:记录者-事件,raw:记录者-事件,5
raw:设在,raw:设在,5
raw:设立者,raw:设立者,5
raw:访问,raw:访问,5
raw:调入,raw:调入,5
raw:调离,raw:调离,5
raw:调配,raw:调配,5
raw:谈判关系,met_with,5
raw:谈判参与方,raw:谈判参与方,5
raw:象征,symbolized_by,5
